Color,variety,US,France,Chile,Italy,Germany,New Zealand,South Africa,Argentina,Spain,Portugal,Austria,Greece,Australia,Canada,Greeece,England,Hungary,Georgia,Switzerland,Mexico,Israel,Bulgaria,Brazil,Uruguay,Slovenia,Ukraine,Turkey,Croatia,Lebanon,Romania,Moldova,Czech Republic,Serbia,India,China
Red,Red Blend,230,21,26,225,0,0,11,18,52,0,10,8,5,1,1,0,1,0,0,2,5,3,1,0,0,0,1,0,2,1,0,0,0,0,0
Red,Bordeaux-style Red Blend,156,449,3,0,0,1,8,5,0,0,0,0,1,0,0,0,1,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Red,Merlot,184,5,21,15,0,2,1,4,0,1,0,0,1,1,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,2,0,0,0,0,0
Red,Syrah,288,17,21,13,0,5,4,10,1,6,0,0,3,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Red,Aglianico,2,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red,Pinot Noir,755,135,30,0,6,34,2,10,2,1,13,0,13,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Red,Cabernet Blend,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Red,Shiraz,5,0,1,0,0,0,7,1,0,0,0,0,43,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Red,Zinfandel,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red,"Corvina, Rondinella, Molinara",0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red,Petite Sirah,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
