Color,variety,US,France,Chile,Italy,Germany,New Zealand,South Africa,Argentina,Spain,Portugal,Austria,Greece,Australia,Canada,Greeece,England,Hungary,Georgia,Switzerland,Mexico,Israel,Bulgaria,Brazil,Uruguay,Slovenia,Ukraine,Turkey,Croatia,Lebanon,Romania,Moldova,Czech Republic,Serbia,India,China
White,Cabernet Sauvignon,602,4,60,9,0,0,15,43,3,2,0,1,21,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0
White,Rhône-style Red Blend,45,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White,Rhône-style White Blend,16,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White,Sauvignon Blanc,171,64,57,6,0,37,11,6,2,2,7,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
White,Riesling,131,62,2,0,131,4,2,0,0,0,55,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
White,Chardonnay,542,217,43,26,0,9,8,29,5,2,5,1,35,1,0,2,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
White,Fiano,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White,Melon,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White,Gewürztraminer,41,43,1,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White,Spätburgunder,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White,Albariño,14,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White,Pinot Gris,63,39,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
