Word,Sentiment_Score,Frequency
ability,2,0.00
aboard,1,0.00
accomplish,2,0.00
admits,-1,0.00
adopt,1,0.00
advantage,2,0.69
aggression,-2,0.50
aggressive,-2,0.00
agreed,1,0.00
allow,1,0.81
alone,-2,0.81
amazing,4,0.00
approval,2,0.50
approved,2,0.81
arrested,-3,0.50
attacks,-1,0.69
authority,1,0.00
bad,-3,0.69
badly,-3,0.69
ban,-2,0.69
beautiful,3,0.00
benefits,2,0.00
best,3,0.81
better,2,0.91
big,1,0.81
bless,2,0.69
bold,2,0.00
brave,2,0.88
breakthrough,3,0.00
broke,-1,0.00
broken,-1,0.81
burdened,-2,0.00
care,2,0.95
celebrate,3,0.81
challenge,-1,0.69
chance,2,0.81
chaos,-2,0.00
charged,-3,0.50
clarity,2,0.00
clean,2,0.69
clear,1,0.69
cleared,1,0.00
collapsing,-2,0.50
committed,1,0.00
compassionate,2,0.50
competitive,2,0.00
confidence,2,0.81
conflict,-2,0.69
congratulations,2,0.00
courage,2,0.00
courageous,2,0.00
crime,-3,0.69
criminal,-3,0.50
criminals,-3,0.88
crisis,-3,0.00
cruel,-3,0.50
crushing,-1,0.00
cut,-1,0.69
cuts,-1,0.81
daring,2,0.50
death,-2,0.50
debt,-2,0.00
defeated,-2,0.50
deficit,-2,0.50
demand,-1,0.00
desperately,-3,0.00
destroy,-3,0.00
destruction,-3,0.00
detain,-2,0.50
detention,-2,0.50
determined,2,0.00
devastating,-2,0.00
died,-3,0.81
difficult,-1,0.50
dirt,-2,0.00
disadvantaged,-2,0.00
disaster,-2,0.00
disasters,-2,0.50
disastrous,-3,0.00
disgrace,-2,0.00
doubts,-1,0.00
dream,1,0.81
dreams,1,0.91
dull,-2,0.00
embrace,1,0.00
emergency,-2,0.00
endorsed,2,0.00
enemies,-2,0.50
enemy,-2,0.69
ensure,1,0.88
escape,-1,0.00
evil,-3,0.50
exciting,3,0.00
exhausted,-2,0.00
expand,1,0.50
exploited,-2,0.00
fail,-2,0.50
failed,-2,0.81
failing,-2,0.00
failures,-2,0.00
fair,2,0.93
faith,1,0.69
fantastic,4,0.50
fear,-2,0.50
fearless,2,0.00
fight,-1,0.81
forced,-1,0.00
forget,-1,0.50
forgotten,-1,0.50
free,1,0.95
freedom,2,0.95
fulfill,2,0.00
fulfills,2,0.00
gained,2,0.00
gaining,2,0.00
glorious,2,0.00
god,1,0.93
good,3,0.93
goodness,3,0.00
grateful,3,0.00
great,3,1.00
greater,3,0.81
greatest,3,0.50
growth,2,0.00
hail,2,0.00
happy,3,0.50
hard,-1,0.81
hardship,-2,0.00
harm,-2,0.50
hate,-3,0.00
help,2,0.97
helping,2,0.00
hero,2,0.50
heroes,2,0.93
heroic,3,0.69
honor,2,0.69
honored,2,0.00
hope,2,0.88
hopefully,2,0.50
hopes,2,0.69
hunger,-2,0.00
hurting,-2,0.00
ignored,-2,0.50
ill,-2,0.00
illegal,-3,0.69
illness,-2,0.00
illnesses,-2,0.00
important,2,0.00
imposed,-1,0.50
imposing,-1,0.50
improve,2,0.00
improved,2,0.00
increase,1,0.81
increased,1,0.00
injured,-2,0.00
injustice,-2,0.00
inspiration,2,0.50
inspired,2,0.00
inspires,2,0.00
integrity,2,0.00
interests,1,0.91
invite,1,0.00
join,1,0.69
justice,2,0.95
killing,-3,0.00
kind,2,0.81
landmark,2,0.00
leave,-1,0.88
legal,1,0.50
like,2,0.98
lobbying,-2,0.00
losing,-3,0.50
loss,-3,0.00
lost,-3,0.81
love,3,0.97
loved,3,0.69
lowest,-1,0.50
loyalty,3,0.50
marvels,3,0.00
matter,1,0.00
meaningful,2,0.50
menace,-2,0.00
mistakes,-2,0.69
